Row,Namn,Utv. 1 år,Utv. 3 år,Utv. 5 år,Total avgift,Risk,Antal ägare ▼
1,Avanza Zero,"18,95","52,82","77,20","0,00",4,881 295 
2,Spiltan Aktiefond Investmentbolag,"10,76","46,31","66,01","0,21",4,657 767
3,Avanza Global,"-1,07","54,85","95,94","0,10",4,628 253
4,Länsförsäkringar Global Index,"0,21","61,94","102,08","0,22",4,454 947
5,Swedbank Robur Technology A,"-1,74","108,29","139,58","1,38",5,213 110
6,Avanza Auto 6,"1,77","39,78","59,21","0,39",4,173 815
7,Spiltan Globalfond Investmentbolag,"-1,26","53,87","116,87","0,54",4,153 148
8,AMF Aktiefond Global,"2,72","52,05","89,14","0,68",4,140 162
9,Avanza 75,"1,63","35,02","46,93","0,66",3,131 899
10,Avanza Auto 5,"0,34","34,20","48,82","0,39",4,125 579
11,Avanza Emerging Markets,"10,39","35,64","37,28","0,34",4,120 820
12,Storebrand Global Plus A SEK,"-0,48","47,67","81,63","0,41",4,111 329
13,Storebrand Europa A SEK,"13,01","50,45","84,78","0,21",4,111 226
14,Länsförsäkringar USA Index,"-2,93","72,65","123,64","0,21",4,105 245
15,Storebrand USA A SEK,"-3,38","56,91","98,39","0,21",4,104 312
16,AMF Räntefond Lång,"2,81","13,69","4,06","0,13",2,100 338
17,Avanza USA,"-3,60","53,02","103,11","0,19",5,88 686
18,DNB Global Indeks S,"0,43","56,81","97,96","0,21",4,88 678
19,Swedbank Robur Ny Teknik A,"-14,07","-6,77","-38,91","1,42",4,87 647
20,SEB Sverige Indexnära A,"10,85","43,05","51,19","0,26",4,72 514
21,Handelsbanken Hållbar Energi (A1 SEK),"21,20","-9,84","-11,40","1,57",5,71 073
22,Avanza Europa,"6,43","35,37","62,65","0,26",4,70 986
23,AMF Aktiefond Småbolag,"-5,41","11,20","4,53","0,52",5,67 038
24,Spiltan Räntefond Sverige,"2,89","17,36","17,96","0,10",2,66 974
25,Länsförsäkringar Tillväxtmarknad Index A,"6,98","30,53","31,23","0,54",4,66 276
26,Swedbank Robur Access Asien A,"9,61","34,00","35,84","0,28",4,62 053
